modal	service	duration	km_category	route_id	capture_time	city	image_id
ridesharing	UberX	36	10.0	355030871000079355030838000207	2020-08-02 12:44:44	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.0_355030871000079355030838000207_2020-08-02_12-44_1596383084.png
ridesharing	UberComfort	36	10.0	355030871000079355030838000207	2020-08-02 12:44:44	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.0_355030871000079355030838000207_2020-08-02_12-44_1596383084.png
ridesharing	UberFlash	36	10.0	355030871000079355030838000207	2020-08-02 12:44:44	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.0_355030871000079355030838000207_2020-08-02_12-44_1596383084.png
ridesharing	UberJuntos	36	10.0	355030871000079355030838000207	2020-08-02 12:44:44	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.0_355030871000079355030838000207_2020-08-02_12-44_1596383084.png
ridesharing	UberX	23	10.5	355030815000030355030871000063	2020-08-02 02:36:20	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_02-36_1596346580.png
ridesharing	UberComfort	23	10.5	355030815000030355030871000063	2020-08-02 02:36:20	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_02-36_1596346580.png
ridesharing	UberX	1282	10.5	355030815000030355030871000063	2020-08-02 03:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_03-40_1596350446.png
ridesharing	UberComfort	22	10.5	355030815000030355030871000063	2020-08-02 03:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_03-40_1596350446.png
ridesharing	UberBlack	23	10.5	355030815000030355030871000063	2020-08-02 03:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_03-40_1596350446.png
ridesharing	UberBag	25	10.5	355030815000030355030871000063	2020-08-02 03:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_03-40_1596350446.png
ridesharing	UberX	24	10.5	355030815000030355030871000063	2020-08-02 04:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_04-40_1596354046.png
ridesharing	UberComfort	24	10.5	355030815000030355030871000063	2020-08-02 04:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_04-40_1596354046.png
ridesharing	UberBlack	24	10.5	355030815000030355030871000063	2020-08-02 04:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_04-40_1596354046.png
ridesharing	UberBag	24	10.5	355030815000030355030871000063	2020-08-02 04:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_04-40_1596354046.png
ridesharing	UberX	26	10.5	355030815000030355030871000063	2020-08-02 05:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_05-40_1596357646.png
ridesharing	UberComfort	26	10.5	355030815000030355030871000063	2020-08-02 05:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_05-40_1596357646.png
ridesharing	UberBlack	26	10.5	355030815000030355030871000063	2020-08-02 05:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_05-40_1596357646.png
ridesharing	UberBag	26	10.5	355030815000030355030871000063	2020-08-02 05:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_05-40_1596357646.png
ridesharing	UberX	984	10.5	355030815000030355030871000063	2020-08-02 07:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_07-40_1596364846.png
ridesharing	UberComfort	25	10.5	355030815000030355030871000063	2020-08-02 07:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_07-40_1596364846.png
ridesharing	UberFlash	24	10.5	355030815000030355030871000063	2020-08-02 07:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_07-40_1596364846.png
ridesharing	UberBlack	26	10.5	355030815000030355030871000063	2020-08-02 07:40:46	sp	./volume_sp/images/app/uber_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_07-40_1596364846.png
