modal	service	distance	km_category	route_id	capture_time	city	image_id
mocycle	mocycle	14000	12.0	355030838000198355030871000081	2020-08-02 08:22:37	sp	./volume_sp/images/modal/mocycle_v0_836cc001_12.0_355030838000198355030871000081_2020-08-02_08-22_1596367357.png
mocycle	mocycle	14000	13.0	355030838000198355030871000069	2020-08-02 07:29:25	sp	./volume_sp/images/modal/mocycle_v0_836cc001_13.0_355030838000198355030871000069_2020-08-02_07-29_1596364165.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 06:36:12	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_06-36_1596360972.png
bicycle	bicycle	4600	5.5	355030838000198355030815000063	2020-08-02 14:19:56	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030838000198355030815000063_2020-08-02_14-19_1596388796.png
bicycle	bicycle	4600	5.5	355030838000198355030815000063	2020-08-02 15:36:25	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030838000198355030815000063_2020-08-02_15-36_1596393385.png
bicycle	bicycle	4600	5.5	355030838000198355030838000226	2020-08-02 16:36:18	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030838000198355030838000226_2020-08-02_16-36_1596396978.png
bicycle	bicycle	6000	5.5	355030871000079355030815000010	2020-08-02 02:32:00	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030871000079355030815000010_2020-08-02_02-32_1596346320.png
bicycle	bicycle	6000	5.5	355030871000079355030815000010	2020-08-02 03:36:25	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030871000079355030815000010_2020-08-02_03-36_1596350185.png
bicycle	bicycle	6000	5.5	355030871000079355030815000010	2020-08-02 05:36:26	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030871000079355030815000010_2020-08-02_05-36_1596357386.png
bicycle	bicycle	6000	5.5	355030871000079355030815000010	2020-08-02 07:36:26	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030871000079355030815000010_2020-08-02_07-36_1596364586.png
bicycle	bicycle	6300	6.5	355030815000030355030838000005	2020-08-02 12:47:09	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_6.5_355030815000030355030838000005_2020-08-02_12-47_1596383229.png
bicycle	bicycle	5300	6.5	355030815000030355030838000122	2020-08-02 09:57:25	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_6.5_355030815000030355030838000122_2020-08-02_09-57_1596373045.png
car	car	8100	8.0	355030815000030355030871000057	2020-08-02 06:49:12	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030815000030355030871000057_2020-08-02_06-49_1596361752.png
car	car	8100	8.0	355030815000030355030871000057	2020-08-02 07:49:12	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030815000030355030871000057_2020-08-02_07-49_1596365352.png
car	car	8100	8.0	355030815000030355030871000057	2020-08-02 08:49:12	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030815000030355030871000057_2020-08-02_08-49_1596368952.png
car	car	9100	8.0	355030838000198355030815000022	2020-08-02 16:49:04	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030838000198355030815000022_2020-08-02_16-49_1596397744.png
car	car	7900	8.0	355030838000198355030815000096	2020-08-02 10:03:26	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030838000198355030815000096_2020-08-02_10-03_1596373406.png
car	car	7900	8.0	355030838000198355030815000096	2020-08-02 11:49:11	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030838000198355030815000096_2020-08-02_11-49_1596379751.png
car	car	12000	8.0	355030838000198355030871000117	2020-08-02 12:53:10	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030838000198355030871000117_2020-08-02_12-53_1596383590.png
car	car	12000	8.0	355030871000079355030838000197	2020-08-02 14:32:41	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030871000079355030838000197_2020-08-02_14-32_1596389561.png
car	car	12000	8.0	355030871000079355030838000197	2020-08-02 15:49:11	sp	./volume_sp/images/modal/car_v0_RX2MB00JQRK_8.0_355030871000079355030838000197_2020-08-02_15-49_1596394151.png
mocycle	mocycle	11000	10.5	355030815000030355030871000063	2020-08-02 01:51:34	sp	./volume_sp/images/modal/mocycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_01-51_1596343894.png
car	car	12000	8.5	355030871000079355030838000152	2020-08-02 02:38:24	sp	./volume_sp/images/modal/car_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_02-38_1596346704.png
car	car	12000	8.5	355030871000079355030838000152	2020-08-02 03:42:49	sp	./volume_sp/images/modal/car_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_03-42_1596350569.png
car	car	12000	8.5	355030871000079355030838000152	2020-08-02 04:42:50	sp	./volume_sp/images/modal/car_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_04-42_1596354170.png
car	car	12000	8.5	355030871000079355030838000152	2020-08-02 05:42:50	sp	./volume_sp/images/modal/car_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_05-42_1596357770.png
mocycle	mocycle	5600	4.0	355030871000079355030815000048	2020-08-02 08:15:48	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_4.0_355030871000079355030815000048_2020-08-02_08-15_1596366948.png
mocycle	mocycle	4600	4.5	355030815000030355030815000078	2020-08-02 02:18:10	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_4.5_355030815000030355030815000078_2020-08-02_02-18_1596345490.png
mocycle	mocycle	4600	4.5	355030815000030355030815000078	2020-08-02 03:22:36	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_4.5_355030815000030355030815000078_2020-08-02_03-22_1596349356.png
mocycle	mocycle	4600	4.5	355030815000030355030815000078	2020-08-02 04:22:37	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_4.5_355030815000030355030815000078_2020-08-02_04-22_1596352957.png
mocycle	mocycle	4600	4.5	355030815000030355030815000078	2020-08-02 05:22:37	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_4.5_355030815000030355030815000078_2020-08-02_05-22_1596356557.png
mocycle	mocycle	4600	4.5	355030815000030355030815000078	2020-08-02 06:22:36	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_4.5_355030815000030355030815000078_2020-08-02_06-22_1596360156.png
