	modal	service	distance	km_category	route_id	capture_time	city	image_id
543	bicycle	bicycle	7600	8.5	355030815000030355030871000041	2020-08-02 11:56:40	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_8.5_355030815000030355030871000041_2020-08-02_11-56_1596380200.png
544	bicycle	bicycle	8700	8.5	355030838000198355030815000095	2020-08-02 13:00:39	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_8.5_355030838000198355030815000095_2020-08-02_13-00_1596384039.png
545	bicycle	bicycle	9500	8.5	355030871000079355030838000152	2020-08-02 02:52:15	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_8.5_355030871000079355030838000152_2020-08-02_02-52_1596347535.png
546	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 06:36:34	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_06-36_1596360994.png
547	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 07:36:35	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_07-36_1596364595.png
548	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 08:36:35	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_08-36_1596368195.png
549	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 09:50:49	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_09-50_1596372649.png
550	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 11:36:35	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_11-36_1596378995.png
551	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 12:40:33	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_12-40_1596382833.png
552	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 14:20:05	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_14-20_1596388805.png
553	walk	walk	7700	15.0	355030871000079355030838000202	2020-08-02 09:57:37	sp	./volume_sp/images/modal/walk_v0_836cc001_15.0_355030871000079355030838000202_2020-08-02_09-57_1596373057.png
554	walk	walk	9200	11.0	355030838000198355030871000060	2020-08-02 11:22:58	sp	./volume_sp/images/modal/walk_v0_836cc001_11.0_355030838000198355030871000060_2020-08-02_11-22_1596378178.png
555	walk	walk	10000	12.0	355030838000198355030871000081	2020-08-02 07:22:59	sp	./volume_sp/images/modal/walk_v0_836cc001_12.0_355030838000198355030871000081_2020-08-02_07-22_1596363779.png
556	walk	walk	11000	13.0	355030838000198355030871000069	2020-08-02 06:29:46	sp	./volume_sp/images/modal/walk_v0_836cc001_13.0_355030838000198355030871000069_2020-08-02_06-29_1596360586.png
557	walk	walk	12000	14.0	355030838000198355030871000089	2020-08-02 05:36:35	sp	./volume_sp/images/modal/walk_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_05-36_1596357395.png
558	walk	walk	7700	15.0	355030871000079355030838000202	2020-08-02 11:43:23	sp	./volume_sp/images/modal/walk_v0_836cc001_15.0_355030871000079355030838000202_2020-08-02_11-43_1596379403.png
559	walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 03:02:35	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_03-02_1596348155.png
560	walk	walk	650	0.5	355030838000198355030838000149	2020-08-02 03:02:34	sp	./volume_sp/images/modal/walk_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_03-02_1596348154.png
561	walk	walk	1100	1.0	355030838000198355030838000195	2020-08-02 02:04:56	sp	./volume_sp/images/modal/walk_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_02-04_1596344696.png
562	walk	walk	7000	10.0	355030871000079355030838000207	2020-08-02 02:45:45	sp	./volume_sp/images/modal/walk_v0_d1568d9c_10.0_355030871000079355030838000207_2020-08-02_02-45_1596347145.png
563	walk	walk	12000	14.5	355030838000198355030871000090	2020-08-02 11:43:23	sp	./volume_sp/images/modal/walk_v0_d1568d9c_14.5_355030838000198355030871000090_2020-08-02_11-43_1596379403.png
564	walk	walk	3700	4.0	355030871000079355030815000048	2020-08-02 02:11:44	sp	./volume_sp/images/modal/walk_v0_d1568d9c_4.0_355030871000079355030815000048_2020-08-02_02-11_1596345104.png
565	mocycle	mocycle	9800	9.5	355030871000079355030838000306	2020-08-02 12:12:58	sp	./volume_sp/images/modal/mocycle_v0_236d8c96_9.5_355030871000079355030838000306_2020-08-02_12-12_1596381178.png
566	mocycle	mocycle	9800	9.5	355030871000079355030838000306	2020-08-02 13:09:01	sp	./volume_sp/images/modal/mocycle_v0_236d8c96_9.5_355030871000079355030838000306_2020-08-02_13-09_1596384541.png
567	mocycle	mocycle	9800	9.5	355030871000079355030838000306	2020-08-02 13:52:31	sp	./volume_sp/images/modal/mocycle_v0_236d8c96_9.5_355030871000079355030838000306_2020-08-02_13-52_1596387151.png
568	mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 01:57:46	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_0.5_355030838000198355030838000149_2020-08-02_01-57_1596344266.png
569	mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 03:02:12	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_0.5_355030838000198355030838000149_2020-08-02_03-02_1596348132.png
570	mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 04:02:12	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_0.5_355030838000198355030838000149_2020-08-02_04-02_1596351732.png
571	mocycle	mocycle	16000	14.5	355030838000198355030871000090	2020-08-02 05:36:13	sp	./volume_sp/images/modal/mocycle_v0_236d8c96_14.5_355030838000198355030871000090_2020-08-02_05-36_1596357373.png
572	mocycle	mocycle	5000	5.5	355030871000079355030815000010	2020-08-02 01:57:46	sp	./volume_sp/images/modal/mocycle_v0_236d8c96_5.5_355030871000079355030815000010_2020-08-02_01-57_1596344266.png
573	mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 05:02:12	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_0.5_355030838000198355030838000149_2020-08-02_05-02_1596355332.png
574	mocycle	mocycle	11000	11.0	355030815000030355030871000083	2020-08-02 05:43:00	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_05-43_1596357780.png
575	mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 02:45:23	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_14.0_355030838000198355030871000089_2020-08-02_02-45_1596347123.png
576	mocycle	mocycle	4100	4.0	355030871000079355030815000006	2020-08-02 13:52:31	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_4.0_355030871000079355030815000006_2020-08-02_13-52_1596387151.png
577	mocycle	mocycle	5000	5.5	355030871000079355030815000010	2020-08-02 04:09:00	sp	./volume_sp/images/modal/mocycle_v0_8369c0d9_5.5_355030871000079355030815000010_2020-08-02_04-09_1596352140.png
578	bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 05:36:45	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_05-36_1596357405.png
579	bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 06:36:46	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_06-36_1596361006.png
580	bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 07:36:45	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_07-36_1596364605.png
581	bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 08:36:46	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_10.5_355030815000030355030871000063_2020-08-02_08-36_1596368206.png
582	bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 02:39:08	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_02-39_1596346748.png
583	bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 03:43:33	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_03-43_1596350613.png
584	bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 04:43:34	sp	./volume_sp/images/modal/bicycle_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_04-43_1596354214.png
585	bus	bus	0	3.0	355030838000198355030838000005	2020-08-02 04:15:48	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000005_2020-08-02_04-15_1596352548.png
586	bus	bus	0	3.0	355030838000198355030838000005	2020-08-02 05:15:48	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000005_2020-08-02_05-15_1596356148.png
587	bus	bus	0	3.0	355030838000198355030838000005	2020-08-02 06:15:48	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000005_2020-08-02_06-15_1596359748.png
588	bus	bus	0	3.0	355030838000198355030838000005	2020-08-02 07:15:49	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000005_2020-08-02_07-15_1596363349.png
589	bus	bus	0	3.0	355030838000198355030838000005	2020-08-02 08:15:48	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000005_2020-08-02_08-15_1596366948.png
590	bus	bus	0	3.0	355030838000198355030838000245	2020-08-02 12:19:47	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000245_2020-08-02_12-19_1596381587.png
591	bus	bus	0	3.0	355030838000198355030838000245	2020-08-02 13:15:49	sp	./volume_sp/images/modal/bus_v0_RX2MB00JQRK_3.0_355030838000198355030838000245_2020-08-02_13-15_1596384949.png
592	bus	bus	0	8.5	355030871000079355030838000152	2020-08-02 06:43:11	sp	./volume_sp/images/modal/bus_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_06-43_1596361391.png
593	bus	bus	0	8.5	355030871000079355030838000152	2020-08-02 07:43:12	sp	./volume_sp/images/modal/bus_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_07-43_1596364992.png
594	bus	bus	0	8.5	355030871000079355030838000152	2020-08-02 08:43:12	sp	./volume_sp/images/modal/bus_v0_d1568d9c_8.5_355030871000079355030838000152_2020-08-02_08-43_1596368592.png
595	bus	bus	0	9.0	355030838000198355030815000002	2020-08-02 14:19:54	sp	./volume_sp/images/modal/bus_v0_d1568d9c_9.0_355030838000198355030815000002_2020-08-02_14-19_1596388794.png
596	bus	bus	0	9.5	355030871000079355030838000306	2020-08-02 12:40:22	sp	./volume_sp/images/modal/bus_v0_d1568d9c_9.5_355030871000079355030838000306_2020-08-02_12-40_1596382822.png
597	bus	bus	0	1.0	355030838000198355030838000147	2020-08-02 13:52:42	sp	./volume_sp/images/modal/bus_v0_R9XMC05G2VY_1.0_355030838000198355030838000147_2020-08-02_13-52_1596387162.png
598	bus	bus	0	1.0	355030838000198355030838000150	2020-08-02 09:23:26	sp	./volume_sp/images/modal/bus_v0_R9XMC05G2VY_1.0_355030838000198355030838000150_2020-08-02_09-23_1596371006.png
599	bus	bus	0	1.0	355030838000198355030838000150	2020-08-02 11:09:11	sp	./volume_sp/images/modal/bus_v0_R9XMC05G2VY_1.0_355030838000198355030838000150_2020-08-02_11-09_1596377351.png
600	car	car	11000	10.5	355030815000030355030871000063	2020-08-02 06:42:50	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_10.5_355030815000030355030871000063_2020-08-02_06-42_1596361370.png
601	car	car	11000	10.5	355030815000030355030871000063	2020-08-02 07:42:50	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_10.5_355030815000030355030871000063_2020-08-02_07-42_1596364970.png
602	car	car	11000	10.5	355030815000030355030871000063	2020-08-02 08:42:49	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_10.5_355030815000030355030871000063_2020-08-02_08-42_1596368569.png
603	car	car	13000	10.5	355030838000198355030871000024	2020-08-02 14:33:08	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_10.5_355030838000198355030871000024_2020-08-02_14-33_1596389588.png
604	car	car	15000	12.5	355030815000030355030871000089	2020-08-02 02:45:12	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_02-45_1596347112.png
605	car	car	13000	12.5	355030815000030355030871000089	2020-08-02 03:49:37	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_03-49_1596350977.png
606	car	car	13000	12.5	355030815000030355030871000089	2020-08-02 04:49:38	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_04-49_1596354578.png
607	car	car	13000	12.5	355030815000030355030871000089	2020-08-02 05:49:37	sp	./volume_sp/images/modal/car_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_05-49_1596358177.png
608	car	car	1200	1.0	355030838000198355030838000195	2020-08-02 03:08:49	sp	./volume_sp/images/modal/car_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_03-08_1596348529.png
609	car	car	1200	1.0	355030838000198355030838000195	2020-08-02 05:08:49	sp	./volume_sp/images/modal/car_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_05-08_1596355729.png
610	car	car	1200	1.0	355030838000198355030838000195	2020-08-02 06:08:49	sp	./volume_sp/images/modal/car_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_06-08_1596359329.png
611	car	car	1200	1.0	355030838000198355030838000195	2020-08-02 07:08:49	sp	./volume_sp/images/modal/car_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_07-08_1596362929.png
612	car	car	1200	1.0	355030838000198355030838000195	2020-08-02 08:08:49	sp	./volume_sp/images/modal/car_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_08-08_1596366529.png
613	bus	bus	0	3.5	355030871000079355030815000020	2020-08-02 05:22:34	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_3.5_355030871000079355030815000020_2020-08-02_05-22_1596356554.png
614	bus	bus	0	3.5	355030871000079355030815000020	2020-08-02 07:22:33	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_3.5_355030871000079355030815000020_2020-08-02_07-22_1596363753.png
615	bus	bus	0	4.5	355030815000030355030815000078	2020-08-02 02:24:53	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_4.5_355030815000030355030815000078_2020-08-02_02-24_1596345893.png
616	bus	bus	0	4.5	355030815000030355030815000078	2020-08-02 03:29:18	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_4.5_355030815000030355030815000078_2020-08-02_03-29_1596349758.png
